panel,size,draw,income,income_se,n_inst,hansen_p,hansen_df
Freedom House,4,95,0.02757766289677388,0.16099748417246063,14,0.04673821800742164,3
Freedom House,4,96,0.14125598264351602,0.21110178078311673,14,0.08535460409571367,3
Freedom House,4,97,-0.027520001755542367,0.14098274543755393,14,0.003027927728422123,3
Freedom House,4,98,0.10203979565469723,0.21825173093389208,14,0.06181623212915563,3
Freedom House,4,99,-0.02295270908474123,0.13714206526733533,14,0.11097345306112989,3
Freedom House,4,100,-0.24666306474487154,0.14123875507904066,14,0.21899519992902486,3
Freedom House,4,101,-0.2706086265418497,0.1207223815912469,14,0.1281323179338697,3
Freedom House,4,102,-0.003638081427619788,0.16452032263804875,14,0.035421739226207845,3
Freedom House,4,103,-0.008528608029171103,0.13850874776334232,14,0.8633454484782547,3
Freedom House,4,104,-0.3126210112820189,0.15335524819906893,14,0.6192444864465694,3
Freedom House,4,105,0.04183469563668041,0.14259578282944818,14,0.06101592938906175,3
Freedom House,4,106,-0.03324258575403505,0.14750311573083577,14,0.5381071016471582,3
Freedom House,4,107,-0.18480771532194495,0.12091344905280335,14,0.20393446551748962,3
Freedom House,4,108,0.09193466285200458,0.19968685882762086,14,0.11378867017864036,3
Freedom House,4,109,-0.24095184315723817,0.1340875491789249,14,2.853978227700642e-4,3
Freedom House,4,110,-0.09809671140496423,0.12861482208177355,14,0.1703139146055479,3
Freedom House,4,111,0.03272888785927819,0.1487471788843961,14,0.10596178195064104,3
Freedom House,4,112,0.8792961233452132,1.2732984567259853,14,0.8475805998983048,3
Freedom House,4,113,0.024331068868657546,0.1437713070284315,14,0.7436988700572824,3
Freedom House,4,114,-0.03412941948118409,0.1290937522305053,14,0.1267942000032132,3
Freedom House,4,115,0.03066660180037495,0.1741965088676845,14,0.7592798189006622,3
Freedom House,4,116,0.02244595734909982,0.16505700781426025,14,0.23318173894616726,3
Freedom House,4,117,-0.00866582243648395,0.1516814477047255,14,0.06835833601720355,3
Freedom House,4,118,0.07952251942077648,0.18067658022783603,14,0.1500151097982104,3
Freedom House,4,119,-0.08940302370781605,0.12965684143379988,14,0.0021823579460053043,3
Freedom House,4,120,-0.003097834250737286,0.1455322103665907,14,0.12067544274196815,3
Freedom House,4,121,0.5574053212094583,0.8770791194897404,14,0.8020950025518396,3
Freedom House,4,122,-0.02364820111398469,0.14879532282147173,14,0.0020264799244233845,3
Freedom House,4,123,0.017353739762755893,0.14230315349935424,14,0.1788218220478682,3
Freedom House,4,124,0.04448711599236255,0.17423863288037314,14,0.5759370975763581,3
Freedom House,4,125,-0.1386919493534835,0.12488364557724495,14,0.3404881477097231,3
Freedom House,4,126,-0.2636695682276953,0.12613241631147634,14,0.05862385769357711,3
Freedom House,4,127,0.1018708512239197,0.20707161858713372,14,0.3755861341934003,3
Freedom House,4,128,0.015677098761354813,0.15890238237783125,14,0.25264317103922485,3
Freedom House,4,129,-0.04475043210455887,0.13533234467232483,14,0.05075513502190448,3
Freedom House,4,130,8.906649992734827e-4,0.1358048103844127,14,0.18615883520172125,3
Freedom House,4,131,-0.01621206867310665,0.14148867562884812,14,0.5256921805955586,3
Freedom House,4,132,-0.008358985864134638,0.1441114110642266,14,0.0329854604891272,3
Freedom House,4,133,-0.20689594083790652,0.12377309612720831,14,0.00793312908988172,3
Freedom House,4,134,-0.04744138344462634,0.14278867261356684,14,0.00933624261310664,3
Freedom House,4,135,-0.33216719687388085,0.22284894457618443,14,0.5543001352348477,3
